name,slug,description,address,city_id,latitude,longitude,phone,email,website,logo_url,cover_image_url,membership_price_from,membership_price_to,currency,opening_hours,is_featured,featured_until,member_count,member_count_source,member_count_verified,member_count_public,member_count_last_updated,rating,review_count,years_in_business,source,specialty_slug,specialty_uuid,specialties_json
Body Shape Gym,body-shape-gym,,"1st April 39, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,+35723820111,,,,,,,,,False,,,,False,True,,4.5,34,,Google Maps Scrape,,,[]
Bodyart Fitness Center,bodyart-fitness-center,,"Ανδρέα Παναγίδη, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,+35799324595,,,,,,,,,False,,,,False,True,,5.0,151,,Google Maps Scrape,,,[]
Mythical Performance,mythical-performance,,"Georgiou Drosini, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,+35799760439,,,,,,,,,False,,,,False,True,,4.7,44,,Google Maps Scrape,,,[]
Demari Wellness And Spa,demari-wellness-and-spa,,"Protara 259, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,+35723731111,,,,,,,,,False,,,,False,True,,4.5,26,,Google Maps Scrape,,,[]
Limitlessxposed,limitlessxposed,,"Akropoleos 161, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,,,http://www.limitlessxposed.com/,,,,,,,False,,,,False,True,,5.0,11,,Google Maps Scrape,,,[]
Sacred Roots Yoga & Massage,sacred-roots-yoga-massage,,"Elena Houses, 24, Vrysoudion 66, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,+35796025001,,http://www.sacredrootscy.com/,,,,,,,False,,,,False,True,,5.0,72,,Google Maps Scrape,yoga,ea4205eb-b55b-4b0d-a762-d267ec55f123,"[""ea4205eb-b55b-4b0d-a762-d267ec55f123""]"
Calisthenicsworkout4Allcy,calisthenicsworkout4allcy,,"Protara 109, Paralimni, Cyprus",7b90b819-b3a9-43ce-ad48-22b016b9686b,35.0125,34.0583,+35799932738,,https://instagram.com/calisthenicsworkout4allcy?igshid=vdciehtp87u5,,,,,,,False,,,,False,True,,5.0,38,,Google Maps Scrape,,,[]
